text,category
white kids favorite activities calling people niggers on xboxfucking their pet shooting up their school,Race
nigger,Race
yall hire colored folk only work half da day and throw da mail in da sewer if we aint done,Race
cant take u coons nowhere amp i mean nowhere,Race
i really get upset when my lightskin friends have another cute dark skin sidekicklike im supposed to be the only cute darkie u hang wit,Race
i hate you niccas lol,Race
phillip rivers look like he almost wants to call dude a nigger for that bad play,Race
aight game over dykes had to ruin it,Sexual Orientation
between this trend and the vines acting like women its like niggas couldnt wait to be faggots,Sexual Orientation
hope gezus gets shot in his faggot head houston nbombs,Sexual Orientation
leo get the fuck off of vine you fag,Sexual Orientation
nah its you justmilz  yo i thought some photoshopped my face on that faggot smmfhi hate yall,Sexual Orientation
youre a faggot if you use the cover your face emoji,Sexual Orientation
he looks like a fag and his time line is boring zzzzzz,Sexual Orientation
tajiana only fuck niggas would wanna continue to mess with these messy ass bitches vs somebody who has been down for them all a,Gender
gt tragedy smh rt  niggas dont know you but will throw dirt on your name for the pussy you h,Gender
if yer gonna continue to be a contrarian bitch go die then ive no time for such trifling,Gender
lol nicca dime game got soo much clout niccas goin to da store to buy sum dice,Gender
i dont fuck with bitch niggas i only fuck niggas bitches,Gender
getting hit off a cunt thats about  foot sideways and a cunt that was in the army lol i dini care yous are fuckin laughable,Gender
ford i hate when a nigga ask me where the hoes  nigga idfk,Gender
bitch youre the ugliest cunt ever,Physical Appearance
your pathetic plan failed enjoy my phone you fucking monkey let me see your ass at benton park you wanna talk shit ill carve your face,Physical Appearance
marie ugly emo trash go cut,Physical Appearance
as always eli has the stupid hick hayseed look on his face giants fans kill yaselves its gonna be a,Physical Appearance
youre a fucking ugly bitch i wanna stab you to death and then play around with your blood patrick bateman,Physical Appearance
true i need to sleep to make them gainz bruh so all the hoes stay mirin p alright later,Physical Appearance
this bitch look like a fucking white trash trailer park queen lookin man bear pig,Physical Appearance
shame of you selfhating kike we jews are gds chosen people,Religion
sit down and stfu raghead,Religion
niggas always wanna talk about how god is against gays what about that pussy you was eating last night aint god ag,Religion
lovesbiebs go pray in a church or something fag no one cares about your religious bullshit,Religion
boringamphack allah and mohamed are also against fagsplease mention them as welldid god take away your balls as punishment,Religion
jus wanted to let yll know hope the hurricane kills your soca sunday trash lordwillin,Religion
king pats owner is a kike,Religion
southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working,Class
lakers are trash right now,Class
Poor people deserve to die,Class
Poor ass motherfuckers,Class
the favorite drink of white trash everywhere,Class
Poor people are ugly,Class
"The fact is that I adore old school funny food. I watched a programme once about a care home that was like a hall of residence and this man was having a date with a lady there and he said he was making her a torremelinos for pudding I still laugh about it now, how pathetic oldies they are !",Class
mcadams because ians retarded,Disability
californias biggest retards dont forget about holy who just released an amazing ep,Disability
no mom im not dramatic immature i just have fucking mental problems and youre a bitch and a cunt,Disability
ahmed and retard mikey for special olympic boxing,Disability
Are you a retard?,Disability
alf legit retard,Disability
"You're in a wheelchair, so you probably wouldn't understand this complex topic.",Disability
krazy i dont always get drunk and pass out but when i do when did they start making colored duct tape,Appropriate
maam did you clear that tweet with the   careful they may brand you race traitor for the nerve of thinking,Appropriate
wth is that playing missy  i mean seriously rt republicann this movie gone be trash,Appropriate
he promised to stand with the muzzies so,Appropriate
now that halloween is fast approaching please understand this we are a culture not a costume to mock and ridicule,Appropriate
oscar taveras went yardie in his nd career mlb at bat what a stud,Appropriate
rt  carrot cake is trash too sweet,Appropriate
