text,category
Danas ako hoćeš poziciju da imaš ili kurva da si peder ili lezbejka.,Gender
Danas ako hoćeš poziciju da imaš ili kurva da si peder ili lezbejka.,Physical Appearance
Danas ako hoćeš poziciju da imaš ili kurva da si peder ili lezbejka.,Disability
Danas navijam za partizane protiv Švaba a sutra za moju Crvenu Zvezdu.,Appropriate
'al zato je najbolje 10 cigara i litar kafe i mleka! za dobro jutro...,Appropriate
"U Čović / Cigani univerzumu ovo je super, samo daj, itd. Ne ide to tako...",Appropriate
"Onaj Turčin prodaje parče mesa kao da prodaje auto, njegovo pravo, ko hoće da ide neka ide ko neće ne mora.",Race
"Samo sipaj u muriju. Mislim da bi mogli vozni park da im obnove, nisu davno.",Appropriate
Eto samo osude bla bla bla Pa ako mislite da nije u redu učinete nešto protiv Irana,Appropriate
"Radnik je tu da radi, a ne da upravlja. Seljak je za selo, a ne za grad. Komunisti su povukli nepismene ljude sa sela, ugurali ih u fabrike i spojili najgore osobine oba mentaliteta, tako smo dobili nešto između seljaka i građanina, masu moralnog sivila i lopovkradica.",Race
"Dosta zaluđivanja…jeste bili zainteresovani za ovog,kao i za mnoge druge pre njega,ali je neko zavrnuo slavinu od Makabija… pošto ne znam kako ste to zamislili da vam neko daje milionaki budžet ,pola cigle za pozivnicu EL a vi da vređate. Ako ste tako zamislili…",Appropriate
"@Nemojte se navikavati na lekove i vakcine, tako postajete zavisni o iste. Nase telo poseduje imunitet koji je vise nego dovoljan da se izbori sa svim bolestima. Problem nastaje kad ga kompromitujemo uzasnom ishranom, alkoholom, drogama, cigaretama, potom raznim lekovima itd. (Pljuvac Svih Stilova, 17. januar 2023 11:31) Kad se ipak razbolite pored vaseg super imuniteta, onda molim vas budite dosledni i nemojte primati vakcine i lekove. Jer uglavnom takvi obavezno traze veze kod lekara i guraju se ispred ostalih ne bi li dobili najbolje lecenje.",Appropriate
"Genetika i to je to. Deda mi je ceo život bio zidar... težak život , na terenu non stop, 2 pakle cigara dnevno, alkohol(jer koji zidar ne pije)... sa 77 godina nijedna bora..",Appropriate
"Pa i ranije je bilo skoro jedna cela plata ode na kiriju a od druge se živi. Nego neki nemaju toliko godina pa ne znaju, znamo mi stariji. Tu se najviše radi o tome da su starije generacije živele skromnije tj primerenije onome koliko zarađuju, a i društvo je bilo manje potrošačko, pa je bilo prvo namiri osnovne račune i kiriju i hranu pa tek onda ostalo koliko ko i kako može. Danas pak živimo u potrošačkom društvu, svi hoće super da žive, tu su letovanja, zimovanja, skupa garderoba , automobili, mnogi ispuše mesečno 250 evra na cigare, a onda je odjednom problem stanodavac i kirija jer je "" skupo"". Nije ona skupa ako uporedimo sa cenama kvadrata, nego je problem što ljudi ne cene tuđe i što kad plate kiriju vide da ne mogu svoje kaprice da ispune jer nema se para.",Appropriate
"Kako 2:0i finalu grend slema, zar nije izgubio garos?",Appropriate
O rekordima mogu da sanjaju cigani i jedni I drugi.,Appropriate
te švabe su u pripremama dobili dva puta po 25 razlike,Appropriate
"jel to onaj momak sto je degeneka slao po cevape kod ""junuza"",haa cigani??? (goran..., 29. jul 2023 16:51) Hahahahahah,ovo onaj od 2,1 miliona ...e baš taj",Appropriate
"Jednom rečju ,,teška ciganija "" i nikad više arapske zemlje jer oni su drugi svet ,zasto sebe i porodicu stavljati u rizik kad imamo bar kolko tolko civilizovanije zemlje gde možete letovati bez rizika da vam otmu dete i napastvuju ženu ili devojku.Slučaja ima previše.Trebe pritisnuti agencije pravno i priupitati šta oni to nude.",Race
"""Neverovatno servirali"" LOL I Novak je zaslužio da osvoji Rolan Garos.",Appropriate
"sto se ne ugleda na svog priku konjušara, pa da ne igra za svoju zemlju jer je to danas normalno",Class
Dovedeš Turčina za trenera i još ga preplatiš. Ovi su veća komedija i od regionalnog JSD kluba :-D,Race
"Od nekog ko je viđen kao naslednik Alija do borca koji se bori jednom u 2 god sa 24. bokserom sveta po rang listi, linija je tanka",Appropriate
Nikola može se imati rak pluća i da nikad nisi cigaru zapalio.,Appropriate
Pobili ih ustaše 100 %,Race
te gluposti možeš pročitati samo na svojim ustaškim portalima SV Sava sigurno nije bio katolik,Race
"Tolike uvrede na račun Jokića, a evo svi otkazaše pa i taj vrli Marej koga uzimaše kao svetli primer ti što vređaju, kao ako može on može i Jokić, kao isto su igrali. Gde su sad svi komentatori koji su sipali uvrede da se izvine? Što bi trener Denvera rekao da stave to u lulu i popuše...",Appropriate
"Podržavate četnike u Bosni, a ne podržavate desingericu u Bosni..",Appropriate
"Radim već duže vreme u firmi u kojoj sam upoznao 10ak Turaka, bolestan narod definitivno.",Race
"Istina, lepa je slovenija ma sa koje strane da gledaš...puno zelenila, dobri ljudi, uslužni, vredni, komunikativni, a naročito čista, smeća nema, pokošena trava, obrezana drveća, ljudi ne svinjaju ne razbijaju kontejnere, kante za smeće posvuda ,za sobom sve ostavljaju čisto, kuće sa sela sređeno puna cveća pa trava lepo pokošeno i uredno jer je to naučeno i kulturno. Imaš svega od mora, planina, jama,, skijališta, ..... sve pod konac napravljeno. Mnoge države bi se mogle sakriti od Slovenije. po lepoti.",Appropriate
"Znam da si USTAŠA sa Cetinja i da su tvoju majku,babu,prababu,strine,tetke,ujne i sestru ako je imaš JEBALI TALIJANSKI vojnici od 1941 pa sve do sada,pičko lacmanska,kurvo žabarska,smrade Sicilijanski,liberalski ološu,NIJE DOLJE MONTENEGRO VEĆ JUNAČKO SRPSKO LEGLO, saznaću ti i ime i prezime,samo malo vremena,ne znam samo zašto i ko to tebi pušta ovakve komentare ustašo!",Race
"Mitrovic udara sudije, sms igrača glavom, Radonjić i Vlahović hvataju se za međunožja, tuča sa xhakom na sp, eto to su Srbi…da li je sada jasno zašto smo prosek?",Race
"Mills ubacio u ""reprezentacija mod"" i samo sipa.",Appropriate
Ima još ljudi kao Alija Sirotanović,Appropriate
Samo kakve penale dosudio sudija i nema nikakve protivljenje igrača Betisa. Dosudio dva nepostojeća penala. Ovo je Ciganija.,Race
I svi ovi Evropljani koji igraju u NBA su obični cirkuzanti koji nemaju blage veze sa košarkom jer zna se samo oni najbolji ostaju u Evropi.,Appropriate
"Nije mudro sipati gorivo u Srbiji, to sigurno.",Appropriate
ovo su noge nekog turčina ili arapina,Appropriate
Što fudbal što košarka 80% spanskih medalja su im navukle sudije. 100 godina da se sudi protiv njih poravnati se ne može. Ciganija. Kao Zvezda u Srbiji.,Appropriate
"On je bio KP mnogo pre KP, ako se ne sećaš pitaj Gance, oni se sigurno sećaju. Sada nije imao sreće, a i videlo se da je malo požurio, a imao vremena da se namesti.",Race
Uzalud šiptaru nameštaju žreb ima da ga Karlito pocepa ko dvolisnicu,Appropriate
"Ni namešten žreb neće pomoći Đokoviću da osvoji ovaj US Open. Kao pripadnik najgoreg naroda na svetu, on otvoreno i licemerno namešta žreb, ali ciganski srpski narod nema pobedu u genima, robovi i turske kurve nikada neće biti pobednici.",Race
"Zeznuo sam ih danas, sipao za 2.5k dizel,ustedeo 25-6 dinara,ura!",Appropriate
Srbijanci u transu kako će u svetske metropole sa makinama na lož ulje.,Race
"Čečeni su ratovali i protiv ISIS-a. Tako da imaju pravo da se ljute i na onog ko njima dira u religiju. Za razliku od Turaka koji prstom nisu mrdnuli, već su podržavali separatiste u Siriji, a sad im je paljenje Kurana problem.",Appropriate
"Sve je to tačno, ali Srbi u Crnoj Gori, a i u ostalim van srbijanskim teritorijama nisu pioni Srbije, odnosno, vlasti u Beogradu, u krugu dvojke. To bi Beograd trebalo da shvati.",Appropriate
"Čast biti pripadnik pobedničke vojske u drugom svetskom ratu. Nije stvar samo sto su četnici sarađivali sa fašistima, pre svega Italijanima, već zločinački i kukavički karakter te vojske. Slava pobenicima! Smrt fašizmu, sloboda narodu!",Appropriate
"Jebote, kad vidiš kako pojedini ljudi glume da su neka elita, da pripadaju nekoj kurčevoj visokoj klasi. Ono, odu iz sela u grad, završe neki fakultet i automatski više nikog ne poznaju. Kad dođu u selo preko vikenda ili na leto, sve gledaju sa visine, svi su glupi neobrazovani seljaci i slicne priče. Mislim realno, svako zna bar jednu takvu osobu.",Appropriate
"Kineska kompanija AVIC objavila je video u kome prikazuje borbeni lovac šeste generacije. ima li ga na aliju? rusi su kupovali od njih digitalne radio stanice za vojsku, pa...",Appropriate
"otpustite Vlahovića i Kostića kada vas molim,spasite ih ove muke...",Appropriate
Jedva čekam da cigan Faku krene da igra taman moze svim igracima institucije da popuši a da na kleči...tako će i biti,Appropriate
