text,category
"These immigrants are ruining our country",Race
"Those people don't belong here",Race
"Send them back where they came from",Race
"Our neighborhood was better before they moved in",Race
"They're taking all the good jobs from us",Race
"These foreigners don't understand our values",Race
"They should learn to assimilate properly",Race
"Those people are destroying our culture",Race
"We need to protect our heritage from outsiders",Race
"They're just not like us, never will be",Race
"These minorities always complain about everything",Race
"They get special treatment that real citizens don't",Race
"Our schools were safer before they came",Race
"That lifestyle is against nature",Sexual Orientation
"They're pushing their agenda on our children",Sexual Orientation
"Marriage should be between normal people only",Sexual Orientation
"Those people are corrupting traditional values",Sexual Orientation
"They're trying to recruit kids to their cause",Sexual Orientation
"This rainbow movement has gone too far",Sexual Orientation
"They should keep their choices private",Sexual Orientation
"Traditional families are being destroyed by them",Sexual Orientation
"They're forcing their beliefs on everyone",Sexual Orientation
"That behavior is just wrong and unnatural",Sexual Orientation
"They're confusing children about gender",Sexual Orientation
"Society was better when they stayed hidden",Sexual Orientation
"Women belong in the kitchen, not the boardroom",Gender
"Men are naturally stronger and smarter",Gender
"They're too emotional to make important decisions",Gender
"Biology determines what people can do",Gender
"This equality movement has gone too far",Gender
"They should focus on traditional roles instead",Gender
"Women aren't suited for leadership positions",Gender
"Men deserve higher pay for the same work",Gender
"They're destroying the natural order of things",Gender
"Feminism is ruining society",Gender
"Women should know their place",Gender
"They're not capable of handling stress like men",Gender
"You're too ugly to be in public",Physical Appearance
"Fat people should cover up more",Physical Appearance
"Nobody wants to look at someone like that",Physical Appearance
"You should be ashamed of how you look",Physical Appearance
"Disgusting people like that ruin everyone's day",Physical Appearance
"They should take better care of themselves",Physical Appearance
"It's offensive to see someone so gross",Physical Appearance
"People that hideous shouldn't leave the house",Physical Appearance
"You're too short to be taken seriously",Physical Appearance
"That appearance is just repulsive",Physical Appearance
"They're setting a bad example for kids",Physical Appearance
"Cover up, you're making people uncomfortable",Physical Appearance
"Those believers are all extremists",Religion
"Their religion promotes violence and hatred",Religion
"They want to impose their rules on everyone",Religion
"We can't trust people who follow that faith",Religion
"Their practices are barbaric and outdated",Religion
"They're trying to take over our institutions",Religion
"That religion is incompatible with modern society",Religion
"They worship a false god",Religion
"Their beliefs are dangerous to democracy",Religion
"Those fanatics can't be reasoned with",Religion
"They're all hypocrites and liars",Religion
"Their faith teaches them to hate others",Religion
"Poor people are just lazy and don't want to work",Class
"They're bleeding our tax system dry",Class
"Rich people are greedy and selfish",Class
"They should pull themselves up instead of complaining",Class
"Homeless people chose that lifestyle",Class
"They don't deserve handouts from hardworking people",Class
"Those bums are just looking for free money",Class
"Wealthy people think they're better than everyone",Class
"They made bad choices and should live with them",Class
"Poor families don't care about education",Class
"They're parasites living off government benefits",Class
"Get a job instead of begging for money",Class
"They're just a burden on society",Disability
"Disabled people can't contribute anything meaningful",Disability
"They should be kept separate from normal people",Disability
"We shouldn't have to accommodate their special needs",Disability
"They're just faking it for attention and benefits",Disability
"Mental illness isn't real, just weakness",Disability
"Those people are useless to society",Disability
"They're looking for special treatment",Disability
"Normal people shouldn't have to deal with them",Disability
"They should be in institutions, not public spaces",Disability
"It's unfair that we have to change things for them",Disability
"They're just making excuses for their problems",Disability
"I had a really productive day at work today",Appropriate
"The weather is perfect for a walk in the park",Appropriate
"I enjoyed the movie we watched last night",Appropriate
"Thank you for your help with the project",Appropriate
"The restaurant had excellent food and service",Appropriate
"I'm looking forward to the weekend plans",Appropriate
"The book I'm reading is really fascinating",Appropriate
"Everyone contributed great ideas to the meeting",Appropriate
"I appreciate all the different perspectives shared",Appropriate
"The community event was well organized and fun",Appropriate
"It's great working with such a diverse team",Appropriate
"I learned something new from each person I met",Appropriate
"The presentation was informative and well done",Appropriate
"I'm grateful for the support from my friends",Appropriate
"The collaboration on this project has been excellent",Appropriate
"I'm not racist, but I've noticed that ever since those people moved into our neighborhood, property values have dropped significantly and there's been a noticeable increase in petty crime, which is just a statistical fact that anyone can verify if they look at the data objectively.",Race
"While I believe in equal opportunity for everyone, I think we need to be realistic about cultural differences and acknowledge that some groups simply don't prioritize education and hard work the same way, which explains the persistent achievement gaps we see across generations.",Race
"The real problem with immigration isn't the people themselves, it's that they bring incompatible cultural values that fundamentally clash with our democratic principles and Western civilization, creating social tensions that threaten the fabric of our society.",Race
"I don't understand why we have to constantly accommodate people who refuse to integrate properly into our society, learn our language fluently, or respect our traditions, especially when they demand special treatment while contributing so little to our economy.",Race
"It's interesting how certain communities always seem to have problems with law enforcement, but maybe if they focused more on personal responsibility and less on blaming systemic issues, they might see some real progress in their circumstances.",Race
"The decline of our once-great cities can be directly traced to demographic changes that occurred over the past few decades, and while it's not politically correct to say so, the correlation is undeniable to anyone willing to examine the evidence.",Race
"I'm tired of being told I need to check my privilege when my ancestors built this country through hard work and sacrifice, while others want to tear down our history and replace it with their own narrative of victimhood and grievance.",Race
"There's a clear pattern of violence and dysfunction in certain communities that can't be explained away by socioeconomic factors alone, suggesting deeper cultural and perhaps even biological differences that we're not allowed to discuss in polite society.",Race
"The great replacement is happening right before our eyes, with birth rates declining among the founding population while others multiply rapidly, fundamentally altering the character and identity of our nation in ways that can never be reversed.",Race
"While I support legal immigration in principle, the current wave of migration brings people whose values are simply incompatible with our way of life, creating parallel societies that refuse to assimilate and pose long-term threats to social cohesion.",Race
"It's remarkable how certain groups consistently underperform across every metric that matters - education, income, crime rates, family stability - yet we're expected to believe this is entirely due to external factors rather than internal cultural deficiencies.",Race
"The forced diversity initiatives in our schools and workplaces are nothing more than reverse discrimination against qualified individuals, prioritizing skin color over merit and destroying the principles of fairness that made our society great.",Race
"I've lived in this community for forty years and watched it transform from a safe, prosperous neighborhood into something unrecognizable, with different languages spoken on every corner and cultural practices that have no place in a civilized society.",Race
"I have nothing against what people do in private, but I draw the line when they insist on forcing their lifestyle choices on impressionable children through inappropriate school curricula that sexualizes kids and confuses them about basic biological realities.",Sexual Orientation
"The aggressive LGBTQ agenda has moved far beyond simple tolerance to demanding complete acceptance and celebration of behaviors that many people find morally objectionable, while simultaneously silencing any dissenting voices through cancel culture and social ostracism.",Sexual Orientation
"Traditional marriage between a man and woman has been the foundation of civilization for thousands of years, providing the optimal environment for raising children, but now we're expected to pretend that all family structures are equally valid despite overwhelming evidence to the contrary.",Sexual Orientation
