text,category
"Cigani kvare naš grad svaki dan",Race
"Šiptari treba da se vrate odakle su došli",Race
"Ovi stranci uništavaju našu kulturu polako",Race
"Turci nisu dobrodošli ovde nikad",Race
"Crni ljudi ne pripadaju u Srbiju",Race
"Muslimani donose terorizam i nasilje",Race
"Albanci kradu našu zemlju konstanto",Race
"Rumuni su lopovi i prevaranti bez morala",Race
"Makedonci nisu pravi narod uopšte",Race
"Bugari su izdajnici i kukavice oduvek",Race
"Hrvati su genocidni narod po prirodi",Race
"Bosanci su turski sluge i robovi",Race
"Mađari okupiraju Vojvodinu nezakonito",Race
"Slovaci ne razumeju našu kulturu nikad",Race
"Romi treba da budu proterani svi",Race
"Ne mogu da podnesem ove strance",Race
"Oni su niži oblik života",Race
"Njihova rasa je inferiorna našoj",Race
"Genetski su defektni kao narod",Race
"Treba ih sve deportovati odavde",Race
"Naša krv je čišća od njihove",Race
"Oni su paraziti u našoj zemlji",Race
"Njihove dece ne treba da se školuju",Race
"Mešanje rasa kvari našu genetiku",Race
"Oni su prljavi i nečisti po prirodi",Race
"Islamska ideologija je nekompatibilna sa našim načinom života",Religion
"Muslimani hoće da nametnu šerijat svima nama",Religion
"Katolici su licemerni fanatici koji manipulišu vernicima",Religion
"Pravoslavci su jedini pravi hrišćani na svetu",Religion
"Protestanti su opasna sekta koja vara ljude",Religion
"Jevreji kontrolišu sve banke i medije",Religion
"Jehovini svedoci su destruktivna sekta",Religion
"Adventisti šire lažno učenje među narodom",Religion
"Buddhisti su paganski idolopoklonici",Religion
"Hinduisti poštuju lažne bogove i demone",Religion
"Ateisti nemaju moral ni osnovne vrednosti",Religion
"Agnostici su kukavice bez čvrstog verovanja",Religion
"Muslimani ne mogu da se integrišu u naše društvo",Religion
"Katolička crkva je korumpirana organizacija",Religion
"Pravoslavlje je superiorno od svih drugih religija",Religion
"Protestanti unište tradicionalne vrednosti",Religion
"Jevreji su odgovorni za sve ratove",Religion
"Jehovini svedoci ne poštuju državne zakone",Religion
"Adventisti obmanjuju ljude lažnim proročanstvima",Religion
"Buddhizam vodi u duhovnu prazninu",Religion
"Hinduizam je primitivno verovanje",Religion
"Ateisti šire moral bez boga",Religion
"Sekularizam uništava naše društvo",Religion
"Islam je religija nasilja i mržnje",Religion
"Katolicizam je protiv prirode",Religion
"Žene ne mogu da budu dobri vozači po prirodi",Gender
"Muškarci su uvek pametniji od žena u svemu",Gender
"Žene treba da ostanu kod kuće i čuvaju decu",Gender
"Feminizam je kancer modernog društva koji kvari žene",Gender
"Žene su previše emocionalne za važne odluke",Gender
"Muškarci su prirodno viši u hijerarhiji od žena",Gender
"Žene ne razumeju politiku i ne treba da glasaju",Gender
"Muškarci su bolji u svim poslovima od žena",Gender
"Žene su stvorene da služe muškarcima ceo život",Gender
"Feministkinje su frustrirane žene koje mrze muškarce",Gender
"Žene ne mogu da budu liderke jer su slabe",Gender
"Muškarci rade teže od žena uvek",Gender
